Date,cds_1,cds_2,cds_3,cds_4,cds_5,cds_6,cds_7,cds_8,cds_9,cds_10,cds_11,cds_12,cds_13,cds_14,cds_15,cds_16,cds_17,cds_18,cds_19,cds_20
2001-01-31,0.00265,0.00345,0.004023516265597148,0.004411179144385025,0.0051836898395721896,0.005576311720142602,0.006131417112299465,0.006623952762923352,0.00733235294117647,0.00825,0.009014000297088529,0.010077535650623885,0.011173245320855625,0.012444003323677975,0.01415416666666665,0.016028995098039216,0.01811898395721925,0.024266488413547234,0.03224503257903055,0.073
2001-02-28,0.0024959065842245975,0.0030384728163992862,0.004024679144385025,0.004380690953654188,0.0052,0.0057291176470588255,0.006129633333333332,0.006942478609625667,0.00771542446524064,0.008724499554367202,0.009486432709447414,0.01055909090909091,0.011375,0.0145,0.0154946590909091,0.017,0.018395010516790176,0.0255749398395722,0.037375000000000005,0.08080367231638419
2001-03-31,0.002537908135981665,0.0032162477718360102,0.003792083333333335,0.00407708121657754,0.00471111111111111,0.00546194295900178,0.006065648128342245,0.00694935271836007,0.00775,0.008212306149732621,0.00915813770053476,0.01,0.011,0.0126,0.014751195855614975,0.017110516934046333,0.0186,0.021812979612299475,0.029,0.06961611151394301
2001-04-30,0.0025418821301247774,0.003135249554367202,0.003704525401069518,0.004126784521687462,0.004614583333333335,0.005179223547237079,0.00597571173924115,0.007129447860962566,0.007692981283422461,0.008254589853569635,0.009,0.0096125,0.0104688502673797,0.013,0.0147314156268568,0.017209241310160425,0.021229166666666653,0.025657142857142885,0.03325,0.0748088383838384
2001-05-31,0.002362267379679144,0.003,0.003505448603683899,0.004,0.004399152183600713,0.00483333333333333,0.00581392819741533,0.006500000000000001,0.007197240790255495,0.007672773618538323,0.008260026737967913,0.00925,0.010574681521093286,0.0121813168449198,0.014041204693998817,0.0171,0.019865505793226358,0.02397916666666665,0.031350326797385634,0.060257486631016
2001-06-30,0.001912959001782532,0.0029803957219251324,0.003414133986928105,0.00391666666666667,0.004405341772976523,0.004879790479662938,0.006000000000000001,0.006517731602540862,0.007337620895599186,0.007995989304812833,0.008473730953603837,0.008966666666666664,0.01017732990422672,0.0109493061497326,0.013591449420677366,0.01557608030873709,0.0184449974470528,0.02325,0.03045833333333335,0.06732703570160731
2001-07-31,0.001969607843137253,0.0029865864527629233,0.00336666666666667,0.003974999999999999,0.004438619830659537,0.005,0.00583333333333333,0.006599999999999999,0.007000000000000001,0.007875,0.0085,0.009481402257872846,0.0106725267379679,0.01175,0.0135,0.01654822222222223,0.0191666666666667,0.0228508615567439,0.0326666666666667,0.0702593496215898
2001-08-31,0.002138334295900178,0.00293333333333333,0.003383174178762415,0.0038500000000000006,0.004377030175706645,0.005,0.005349999999999998,0.00640925,0.00705550668449198,0.00787090202020202,0.0085,0.009081630917852503,0.010165608288770056,0.01175,0.013181718210268183,0.01655,0.018946256447108883,0.022175,0.03225,0.06962801354459348
2001-09-30,0.002531272727272727,0.0032768541666666675,0.004158169786096257,0.005,0.005763703208556147,0.006458333333333335,0.007224241683489477,0.007617173573975046,0.008429798101604278,0.00913438918597742,0.01018527562480908,0.012084924879042516,0.0133316577540107,0.0151764592585879,0.016901106654783116,0.018764524643961333,0.023760007014940025,0.027868025846702296,0.04200666390374333,0.08021733748564912
2001-10-31,0.00270054946524064,0.0033183439171123,0.0042455295742896085,0.00522070707070707,0.00600033333333333,0.00652038770053476,0.007203333333333329,0.00815,0.00884537232997976,0.00977112596553773,0.01118279058279708,0.012797103768240718,0.0147244652406417,0.016573042673926276,0.018112078448420957,0.020619561608734426,0.025056565656565666,0.03223699639514897,0.04513998175020393,0.0783333333333333
2001-11-30,0.0023918894830659565,0.0032,0.004175,0.004766280451574567,0.005583320016748995,0.006356443675706888,0.006948675771926643,0.007642595365418897,0.0085,0.00954074751718869,0.010541382166631433,0.012216798675941871,0.013436080162111081,0.01475954162932078,0.01674228167499667,0.018922810641711238,0.02325,0.03021913012477717,0.0425,0.0779
2001-12-31,0.00237002376708259,0.003289825311942958,0.00376192513368984,0.0047445375,0.0055,0.0061,0.007168803290255499,0.007931707367795604,0.00893333333333333,0.00951666666666667,0.010481939700941368,0.011667682709447399,0.014026988883997341,0.01525,0.017281857358659957,0.0198478948697738,0.0248414661319073,0.03176758875343665,0.045,0.0755982392941126
2002-01-31,0.0022240762987013,0.0031425287508686046,0.004030897822919615,0.0048578850643,0.005375276122570239,0.005998365418894831,0.00694840909090909,0.007896200980392159,0.00886458333333333,0.009626336775846702,0.010694962121212133,0.012074904597445018,0.013898602158891299,0.01498621051875,0.0172674633333333,0.02095536317670365,0.025971532803735275,0.03279616252237605,0.048527183600713,0.07403437673796792
2002-02-28,0.002,0.0037312611408199647,0.004250517938693656,0.004864471851979135,0.005406220628564054,0.006,0.006990888609424253,0.008,0.008852696152703503,0.009635877540106952,0.010696530005941765,0.012216461949814891,0.01376426024955435,0.01579761904761905,0.018771556327985744,0.02447276069518715,0.02883309903622465,0.0407192513368984,0.05259910164174144,0.08674771819215102
2002-03-31,0.0021211529848302927,0.003313022595848817,0.004002184067560425,0.00471011325089973,0.0051949062314319665,0.005668536612385068,0.006428646671517435,0.007242290552584671,0.008132234050898648,0.009116506642410434,0.010046157932263797,0.011123664629488179,0.012399177985739758,0.014840418816278421,0.018116510380220274,0.021298190197400223,0.02720244206773618,0.033791090314913855,0.04587716284253301,0.1
