Date,cds_1,cds_2,cds_3,cds_4,cds_5,cds_6,cds_7,cds_8,cds_9,cds_10,cds_11,cds_12,cds_13,cds_14,cds_15,cds_16,cds_17,cds_18,cds_19,cds_20
2001-01-31,0.002490804367201425,0.0033480508870214754,0.003994593341503268,0.00435710215601392,0.005209816929802223,0.005587004530600119,0.006080167112299466,0.006660360962566845,0.007287898841354723,0.008137975144603295,0.008991517033075856,0.010080633965707502,0.01114875222816399,0.012523219873366019,0.01414894533571004,0.016156165577342053,0.018753164866871255,0.02487127673796791,0.03290979457011361,0.09061888273850885
2001-02-28,0.0024103861222519313,0.0031611696189839567,0.003972378843582887,0.00437727914067142,0.005156956550802139,0.0057229462764903935,0.006139733422459894,0.006843897607508912,0.007716556651069519,0.008626301818738859,0.009638697676040116,0.01059727730042459,0.011712739527629237,0.014384876336898392,0.015735065584415585,0.017166986822720876,0.018973416947480073,0.025031957906268568,0.0372000544956041,0.10932575724279182
2001-03-31,0.0023978292430608603,0.0031816220326514448,0.0037873064468211537,0.0041628605452281925,0.004766626530005942,0.005441845823430381,0.0061471389245395126,0.006986568441770647,0.007756712583349838,0.008317612471033868,0.009070897886034324,0.009920288918597739,0.010994468046477857,0.012305354897009306,0.014668274949388849,0.01685989927732035,0.018614147232125174,0.022671932425576812,0.030782101158645277,0.08525435005085756
2001-04-30,0.0023994818899782133,0.003182298611111111,0.0037455129626977057,0.004140393250519904,0.004618026000551736,0.005150678997396939,0.005879485948098248,0.00708591825334932,0.007701986431188638,0.0082420922160795,0.008989022503572136,0.009666728312537136,0.010623770895226781,0.013174187783295144,0.014818745039682545,0.017324068882451967,0.021215041329722045,0.0259616202938503,0.03392379864824718,0.08382496666461059
2001-05-31,0.002293594406002494,0.0030149106253223898,0.0034959455786418114,0.00392908051786993,0.004419890307486631,0.004930703492993934,0.005743337171345811,0.006506203598444039,0.007161676524041205,0.007699067825222904,0.00830518178104575,0.009293838155308742,0.010667678154089921,0.012207248103519391,0.014059280864669094,0.01696097856391974,0.01988727227238213,0.024982590081487142,0.031857605466429004,0.06703528858863388
2001-06-30,0.0020546201357543527,0.002967676517065057,0.0033813094005895462,0.0038711429714979647,0.0043862391170579685,0.005027057042286844,0.006038369098202925,0.006580658566212823,0.007370933898981717,0.007946117644355976,0.008437260704477176,0.009061250183483766,0.010189956068470016,0.011083713129134417,0.013498256895708985,0.015579011706103428,0.018673365050737238,0.022977230172224253,0.03156339908103715,0.08615923129557038
2001-07-31,0.002015064418079096,0.002986919009724074,0.0033907819111312692,0.003888111446776793,0.004411095192924613,0.00503147973212797,0.005860775750160533,0.006566112442051755,0.007029624089751999,0.007879839903104239,0.008565175069760655,0.009623923240212029,0.010714738137619365,0.011850457595917156,0.013577785240020675,0.016404306352255333,0.01934866930973873,0.023357798677016088,0.03420296061480962,0.0974851115087278
2001-08-31,0.0019504135571273076,0.0028322331842016036,0.0033622294766356294,0.00386298811156078,0.004339559835552416,0.004954949316696375,0.005383150281884424,0.006302203760109762,0.0070666333813700225,0.007915467359759112,0.008522437197866719,0.009120991694900866,0.01016168752827056,0.011686410344501609,0.013187092171205755,0.01610887956047011,0.019062370827637676,0.02281434293478291,0.032186667841442,0.09349867436044143
2001-09-30,0.0024176654519609897,0.0033313964808934942,0.004168868395361804,0.0049755008061824,0.005765411712640082,0.006440285611084765,0.007140053652668111,0.0076667390672982404,0.008367093112669567,0.009238310290242004,0.010349166286891563,0.012099146385338934,0.013418221206020296,0.015182887766304045,0.016776835264453727,0.018820737629653653,0.023166775794718396,0.028784875475231505,0.04207500509188492,0.09386959985679015
2001-10-31,0.002374931424024336,0.0033991752831253504,0.004317475939641677,0.005255555749926159,0.005988595212895675,0.006543772896171085,0.0071874024559997465,0.008179374422928057,0.008867463411457088,0.009736636584512714,0.01119533121034888,0.012824847021528476,0.014747139356994801,0.01656911179044883,0.018347560020387392,0.020859986208573707,0.024856086422524612,0.031788894253770364,0.045856769429160525,0.09858659232827788
2001-11-30,0.0021896198729645035,0.0032109967183022135,0.004046558543400957,0.004770622871920589,0.005566748031249759,0.006351032191962023,0.006905606288510539,0.007685053400656864,0.008511087877680673,0.009585851746248117,0.010637348113583352,0.012104611537790773,0.013351731430443499,0.01467159958232573,0.016675988525345842,0.01890444071312397,0.023300906118076253,0.030790601843233754,0.04439336286718531,0.09709448047694406
2001-12-31,0.00217824830860688,0.0032434351528570784,0.0038361868485234816,0.0046441842962117435,0.0055271249658666605,0.006236882082073743,0.0071619245874870886,0.008060005621858603,0.008858101835047287,0.009593806947438327,0.010512684753201686,0.011735986522936922,0.013919122306192576,0.015282052846692828,0.017220934083347173,0.019832183530029336,0.02474209160061386,0.0325451652537408,0.04459232544561958,0.08006578055663299
2002-01-31,0.002206572322952978,0.0032364689759689985,0.004061702874854945,0.004807721818428294,0.005383325546180158,0.00597362294389448,0.0067762004359434545,0.007874829072974179,0.008795967837386497,0.009605752326533004,0.010697310078313604,0.011991630679988777,0.013763170725664508,0.015143361299304868,0.017320912304766425,0.02099515192733276,0.025830454342486858,0.033616486581772506,0.04947798209946644,0.09266012025159176
2002-02-28,0.002040823575015694,0.003519523322579181,0.004279672179917948,0.004867368102974554,0.005413737299464735,0.0060503389581007235,0.007030196300160159,0.0080650678804751,0.008847957399722458,0.009640773213491887,0.010782281911847224,0.012324869856515873,0.013879696284404334,0.015860570918323002,0.01889328882917507,0.024348985213275602,0.029419419917681464,0.039965200718966386,0.051998438147865256,0.15583776411708183
